STUDENTID,YEAR,NEWCOURSECODE,NEWCOURSETITLE,STUDYLEVEL,COMMUTELENGTH,ACCOMMODATIONTYPE,CAMPUSPOSTCODE,AVERAGEMODULEMARK,ACTUALATTENDANCEDAYS,EXPECTEDATTENDANCEDAYS
A(J1XYON2`7AC<[7AY7+V/,2016/17,BSMGM01F,BSc Computer Games Development FT,Level 4,5.13,Commuter,W1W 6XH,48,36,89
A(QKI7Y&L&%\_B71_=?TI*,2016/17,BAARC02F,BA Interior Architecture FT,Level 5,6.93,Other inc. Private Halls,NW1 5LS,63,33,72
A(QKI7Y&L&%\_B71_=?TI*,2017/18,BAARC02F,BA Interior Architecture FT,Level 6,6.93,Other inc. Private Halls,NW1 5LS,67,31,71
A(R/$[?Y.L=WK#U[$'I:R-,2017/18,BAFAS02F,BA Fashion Design FT,Level 6,36.1,Unknown,HA1 3TP,65,0,152
"A)-&7'(E8,#F<_0RLD]P8*",2016/17,BSPOC05F,BSc Property and Planning FT,Level 4,3.56,Other inc. Private Halls,NW1 5LS,74,60,75
"A)-&7'(E8,#F<_0RLD]P8*",2017/18,BSPOC05F,BSc Property and Planning FT,Level 5,3.56,Other inc. Private Halls,NW1 5LS,75,35,49
A)'8#0IN3G1^$ZUK@N[?5.,2016/17,BABSM06F,BA Business Management FT,Level 4,6.07,UoW Halls,NW1 5LS,63,45,75
A)'8#0IN3G1^$ZUK@N[?5.,2017/18,BABSM06F,BA Business Management FT,Level 5,6,UoW Halls,NW1 5LS,60,34,76
"A)%9;K(\WNE9S#K;1R,;[+",2016/17,BSNUT01F,BSc Human Nutrition FT,Level 5,6.69,Other inc. Private Halls,W1W 6XH,66,46,82
"A)%9;K(\WNE9S#K;1R,;[+",2017/18,BSNUT01F,BSc Human Nutrition FT,Level 6,6.39,Other inc. Private Halls,W1W 6XH,67,26,51
A)&\1<LTA.S_&%P#P!19S+,2016/17,BAPIR02F,BA International Relations FT,Level 6,2.92,Other inc. Private Halls,W1B 2HW,48,37,86
A)(4;>([=$3Q]]YV8-`5-%,2016/17,BABSM06F,BA Business Management FT,Level 5,4.35,Commuter,NW1 5LS,48,23,89
A)(4;>([=$3Q]]YV8-`5-%,2017/18,BABSM06F,BA Business Management FT,Level 6,4.35,Commuter,NW1 5LS,50,17,72
"A),9QL6$EAZBN<\YJ1\IF+",2016/17,BAARC02F,BA Interior Architecture FT,Level 6,13.76,Commuter,NW1 5LS,78,11,81
A):$OG;C_U/C.;%#_<(R5/,2016/17,BLLAW02F,LLB Law FT,Level 5,8.23,Other inc. Private Halls,W1B 2HW,67,81,94
A):$OG;C_U/C.;%#_<(R5/,2017/18,BLLAW02F,LLB Law FT,Level 6,8.23,Other inc. Private Halls,W1B 2HW,72,47,62
A)<!V+]$B_X@&XFKAL9OA-,2016/17,BAFAS03F,BA Fashion Merchandise Management FT,Level 4,0,UoW Halls,HA1 3TP,60,43,72
"A)>;HZ?&,B:>,.X<?AHUF#",2016/17,BSCSS02F,BSc Computer Science FT,Level 6,3.46,Other inc. Private Halls,W1W 6XH,43,1,77
"A)0<$@EL01_!=.9*""0#E<,",2016/17,BSPOC02F,BSc Building Engineering FT,Level 4,3.54,Commuter,NW1 5LS,,39,50
"A)0<$@EL01_!=.9*""0#E<,",2017/18,BSPOC02F,BSc Building Engineering FT,Level 5,3.54,Commuter,NW1 5LS,,40,52
A)1LN\/+@W#MF\:FO;K6/(,2016/17,BSBMS01F,BSc Biomedical Sciences FT,Level 5,6.71,Commuter,W1W 6XH,50,64,84
"A)9,V1@T7][/""7U`><3Z/'",2017/18,BSBMS01F,BSc Biomedical Sciences FT,Level 4,5.04,Commuter,W1W 6XH,52,49,83
"A)9<$A\+:XZV,N&CEQ""3U-",2016/17,BALAN07F,BA Translation FT,Level 6,3.9,Other inc. Private Halls,W1B 2HW,60,60,108
"A)D#13Q`(G0GK<22Y6Q:%""",2016/17,BSCON02F,BSc Computer Network Security FT,Level 4,6.64,UoW Halls,W1W 6XH,80,76,102
"A)D#13Q`(G0GK<22Y6Q:%""",2017/18,BSCON02F,BSc Computer Network Security FT,Level 5,42.92,Unknown,W1W 6XH,70,82,123
A)Q/TI.427G`&MTZYCW0=',2016/17,BAMRK02F,BA Marketing Communications FT,Level 5,4.5,Commuter,NW1 5LS,60,38,85
A)Q/TI.427G`&MTZYCW0=',2017/18,BAMRK02F,BA Marketing Communications FT,Level 6,4.5,Commuter,NW1 5LS,65,34,72
A)X=J@;D/E.Z<5I%\=53L),2016/17,BMMUS01F,BMus Commercial Music Performance FT,Level 5,13.72,Commuter,HA1 3TP,65,28,62
A)X=J@;D/E.Z<5I%\=53L),2017/18,BMMUS01F,BMus Commercial Music Performance FT,Level 6,13.72,Commuter,HA1 3TP,62,18,64
"A*,X19*>/!EYKUT33@Z^(-",2016/17,BLLAW02F,LLB Law FT,Level 4,6.66,UoW Halls,W1B 2HW,9,12,100
A*;Y@\*_0@93T3`A503QH#,2016/17,BAADS04F,BA Fine Art Mixed Media FT,Level 6,51.8,Unknown,HA1 3TP,53,15,90
"A*@K_X%<<`F.A\A@<<,4[/",2016/17,BAHIS03F,BA History FT,Level 4,6.66,UoW Halls,W1B 2HW,60,43,69
"A*@K_X%<<`F.A\A@<<,4[/",2017/18,BAHIS03F,BA History FT,Level 5,38.49,Unknown,W1B 2HW,61,54,84
"A*^9=+XS1:""1G=(FZMSD$!",2016/17,BSPSY01F,BSc Cognitive and Clinical Neuroscience FT,Level 6,6.56,UoW Halls,W1W 6XH,63,52,62
"A*<58A\N3AE^PIG/VCOA6""",2016/17,BASOC01F,BA Sociology FT,Level 6,12.15,Commuter,W1B 2HW,61,15,70
"A*0/=[,SB^<`46(T$[7)R'",2016/17,BSACC01F,BSc Accounting FT,Level 5,9.02,Unknown,NW1 5LS,57,12,86
"A*0/=[,SB^<`46(T$[7)R'",2017/18,BSACC01F,BSc Accounting FT,Level 6,9.02,Unknown,NW1 5LS,49,4,77
"A*02GV';-VNBO&[W)!,9=(",2016/17,BAENG07F,BA English Literature FT,Level 6,6.51,Other inc. Private Halls,W1B 2HW,58,29,64
A*6?N5=SZ\.^*_.K:`)D3*,2016/17,BAJMC02F,BA Journalism FT,Level 4,0.59,UoW Halls,HA1 3TP,53,34,81
A*6?N5=SZ\.^*_.K:`)D3*,2017/18,BAJMC02F,BA Journalism FT,Level 5,4.08,Unknown,HA1 3TP,58,21,87
A*6O@[S8/!.4X[W67WC(:$,2017/18,BSCSS02F,BSc Computer Science FT,Level 4,3.03,Other inc. Private Halls,W1W 6XH,60,56,91
A*16]J:+TF?H3/1B\1B'\0,2016/17,BSBIO01F,BSc Biochemistry FT,Level 5,5.41,Other inc. Private Halls,W1W 6XH,73,52,58
A*16]J:+TF?H3/1B\1B'\0,2017/18,BSBIO01F,BSc Biochemistry FT,Level 6,5.41,Other inc. Private Halls,W1W 6XH,72,60,85
"A*A4Z`P-?Y^,#X[%7=,(H*",2017/18,BSCSS02F,BSc Computer Science FT,Level 4,3.75,Commuter,W1W 6XH,77,82,90
"A*B6`^>JN_L^B`,(#I76!*",2016/17,BACRI01F,BA Criminology FT,Level 5,9.46,Commuter,W1B 2HW,61,42,54
"A*B6`^>JN_L^B`,(#I76!*",2017/18,BACRI01F,BA Criminology FT,Level 6,10.21,Other inc. Private Halls,W1B 2HW,59,28,52
A*E*&39M8#H'ZOUH0TG\&(,2017/18,BSCPM02F,BSc Herbal Medicine FT,Level 4,53.97,Unknown,W1W 6XH,0,0,2
A*FN1`1^FVH1Y-_T!;\?;/,2017/18,BABSM06F,BA Business Management FT,Level 4,1.41,Commuter,NW1 5LS,52,47,83
"A*G>XNB/""BVIPXXMSQ]F@*",2016/17,BEELE01F,BEng Electronic Engineering FT,Level 4,7.66,Commuter,W1W 6XH,66,97,124
"A*SN'.\([?1$,07;M!$.)!",2016/17,BAHIS01F,BA History and Politics FT,Level 5,29.41,Unknown,W1B 2HW,64,37,56
A*V5=[27'N!0?8)6C%US6+,2016/17,BATFM01F,BA Film FT,Level 4,0.59,UoW Halls,HA1 3TP,68,42,84
A*V5=[27'N!0?8)6C%US6+,2017/18,BATFM01F,BA Film FT,Level 5,2.09,Other inc. Private Halls,HA1 3TP,72,24,93
"A,-L_E^W\9WV_KH02&ZD[$",2016/17,BSCSS02F,BSc Computer Science FT,Level 5,117.37,Unknown,W1W 6XH,80,52,88
"A,/FKQGG5%38#<RJ=6]21""",2016/17,BABSM07F,BA International Business FT,Level 6,2.32,Other inc. Private Halls,NW1 5LS,57,17,101
"A,:(8=!^,X4""(GA]<P``/.",2016/17,BAMUS01F,BA Commercial Music FT,Level 4,0.59,UoW Halls,HA1 3TP,51,32,56
"A,:(8=!^,X4""(GA]<P``/.",2017/18,BAMUS01F,BA Commercial Music FT,Level 5,2.13,Other inc. Private Halls,HA1 3TP,29,19,42
"A,])#2L.T:H@*7)?25F0@""",2017/18,BSBIO02F,BSc Biological Sciences FT,Level 4,10.49,Commuter,W1W 6XH,63,76,88
"A,_/](X""4F)9""KFV!HRG$+",2016/17,BSPOC06F,BSc Quantity Surveying and Commercial Management FT,Level 4,36.32,Unknown,NW1 5LS,62,35,50
"A,_/](X""4F)9""KFV!HRG$+",2017/18,BSPOC06F,BSc Quantity Surveying and Commercial Management FT,Level 5,36.32,Unknown,NW1 5LS,40,15,51
"A,0T:$H':F>D5HP80:)Q9(",2017/18,BAENG07F,BA English Literature FT,Level 4,8.45,Commuter,W1B 2HW,0,7,84
"A,2,+78@(P'@?T;@/L1(G,",2016/17,BSBIS01F,BSc Business Information Systems FT,Level 4,3.6,Commuter,W1W 6XH,5,12,76
"A,853M;+?R=X?NO40`0LJ,",2016/17,BABSM06F,BA Business Management FT,Level 6,1.52,Commuter,NW1 5LS,61,43,74
"A,BNVP.RZZ,X<^6D3=0;(.",2017/18,BAFAS01F,BA Fashion Buying Management FT,Level 4,2.13,Other inc. Private Halls,HA1 3TP,55,38,72
"A,HRZB;V2.AHP80:"";Y7V)",2016/17,BSACC01F,BSc Accounting FT,Level 5,7.79,Commuter,NW1 5LS,64,55,86
"A,HRZB;V2.AHP80:"";Y7V)",2017/18,BSACC01F,BSc Accounting FT,Level 6,7.79,Commuter,NW1 5LS,61,33,63
"A,J;NEC\W%HL?=!2181_1-",2017/18,BSPSY02F,BSc Psychology FT,Level 4,6.8,Other inc. Private Halls,W1W 6XH,53,37,70
"A,J9V&IMK*SU3:-$9%C'J-",2016/17,BABSM06F,BA Business Management FT,Level 5,7.72,Commuter,NW1 5LS,67,50,85
"A,J9V&IMK*SU3:-$9%C'J-",2017/18,BABSM06F,BA Business Management FT,Level 6,7.72,Commuter,NW1 5LS,71,46,74
"A,JOYAMJ_LL8K(23?/KC0#",2016/17,BSNUT01F,BSc Human Nutrition FT,Level 4,4.66,Other inc. Private Halls,W1W 6XH,59,71,98
"A,JOYAMJ_LL8K(23?/KC0#",2017/18,BSNUT01F,BSc Human Nutrition FT,Level 5,2.46,Other inc. Private Halls,W1W 6XH,67,49,80
"A,L0.4O?>X\&,1/>%=)(9)",2016/17,BABSM06F,BA Business Management FT,Level 4,60.47,Unknown,NW1 5LS,56,45,74
"A,L0.4O?>X\&,1/>%=)(9)",2017/18,BABSM06F,BA Business Management FT,Level 5,60.47,Unknown,NW1 5LS,56,33,74
"A,ORX_;,!3Z%B</J;QAY:""",2016/17,BABSM06F,BA Business Management FT,Level 6,,Unknown,NW1 5LS,65,72,83
"A,U5%IT^%?\,-LNYB'6>;(",2017/18,BAFAS03F,BA Fashion Merchandise Management FT,Level 4,8.96,Other inc. Private Halls,HA1 3TP,51,9,79
"A,Y[(MY%""JW<%=Y/S/M@T.",2017/18,BASOC01F,BA Sociology FT,Level 4,10.25,Commuter,W1B 2HW,58,35,70
"A,ZT8P:ZH_.]5M0;_7]>A""",2016/17,BAMRK02F,BA Marketing Communications FT,Level 5,7.34,Other inc. Private Halls,NW1 5LS,53,41,75
"A,ZT8P:ZH_.]5M0;_7]>A""",2017/18,BAMRK02F,BA Marketing Communications FT,Level 6,7.34,Other inc. Private Halls,NW1 5LS,34,27,72
A.#>LJ@&3O(B!_'G_WFL0/,2017/18,BSCSS02F,BSc Computer Science FT,Level 4,5.15,Commuter,W1W 6XH,44,62,69
A.%CQ_L.%&</C93V0<:V1&,2017/18,BABSM06F,BA Business Management FT,Level 4,11.28,Unknown,NW1 5LS,52,39,73
"A.;03,C'KP;VFGTWMFDT\&",2016/17,BAADS04F,BA Fine Art Mixed Media FT,Level 6,1.1,Other inc. Private Halls,HA1 3TP,61,37,90
A.?N&LL60OWM:@!@B.(2G(,2016/17,BABSM06F,BA Business Management FT,Level 4,12.34,Commuter,NW1 5LS,65,50,74
A.?N&LL60OWM:@!@B.(2G(,2017/18,BABSM06F,BA Business Management FT,Level 5,12.34,Commuter,NW1 5LS,50,24,78
A.[]6`C'IZE*T\I'''QQ&+,2016/17,BSBIO02F,BSc Biological Sciences FT,Level 4,6.4,Commuter,W1W 6XH,71,61,80
A.]P!&JQBD$SZ<7>K&C)L%,2016/17,BSBIO01F,BSc Biochemistry FT,Level 6,10.3,Other inc. Private Halls,W1W 6XH,70,32,65
A.`JDJ2J/&A*I1A'KNYYK*,2016/17,BSBIS01F,BSc Business Information Systems FT,Level 6,6.61,Commuter,W1W 6XH,38,8,67
"A.+`^[PXT2""77#VKS=IHY%",2016/17,BSBIS01F,BSc Business Information Systems FT,Level 6,5.29,Commuter,W1W 6XH,41,33,93
"A.>,,\Y02H$&44M82@M?;)",2016/17,BAMRK01F,BA International Marketing FT,Level 5,1.18,Other inc. Private Halls,NW1 5LS,60,49,74
"A.>,,\Y02H$&44M82@M?;)",2017/18,BAMRK01F,BA International Marketing FT,Level 6,2.03,Other inc. Private Halls,NW1 5LS,67,53,74
A.4)JKLWOII]QZ><#WO52),2016/17,BAJMC04F,BA Public Relations and Advertising FT,Level 5,2.36,Unknown,HA1 3TP,58,48,72
A.4)JKLWOII]QZ><#WO52),2017/18,BAJMC04F,BA Public Relations and Advertising FT,Level 6,2.36,Unknown,HA1 3TP,54,24,44
A.7?2AP4]22#>>]Z:R_5^-,2017/18,BSBMS04F,BSc Honours Biomedical Sciences (Sandwich) FT,Level 4,5.25,Commuter,W1W 6XH,,30,93
"A.7YKW&P,?/U^.T[CM_$?&",2016/17,BABSM07F,BA International Business FT,Level 6,7.96,Commuter,NW1 5LS,50,27,92
A.F!-_ABR`92H:=OX#-;K(,2016/17,BAJMC05F,BA Radio and Digital Production FT,Level 4,0.59,UoW Halls,HA1 3TP,59,50,72
A.F!-_ABR`92H:=OX#-;K(,2017/18,BAJMC05F,BA Radio and Digital Production FT,Level 5,1.1,Unknown,HA1 3TP,65,32,69
"A.S``,UQY2HOJP<K%6?DU!",2016/17,BABSM07F,BA International Business FT,Level 6,4.86,Other inc. Private Halls,NW1 5LS,73,67,87
A.U@C+LV3B>.XI.*[1HTF$,2016/17,BAHIS03F,BA History FT,Level 6,3.92,Commuter,W1B 2HW,22,32,62
"A.Z)_R^\32+>(+HQ`!Q7,&",2016/17,BABSM06F,BA Business Management FT,Level 5,4.77,Commuter,NW1 5LS,83,68,85
"A.Z)_R^\32+>(+HQ`!Q7,&",2017/18,BABSM06F,BA Business Management FT,Level 6,4.77,Commuter,NW1 5LS,78,65,92
"A/&$==M]0""=G+\.GGOD].%",2016/17,BSELE01F,BSc Electronic Engineering FT,Level 6,5.96,Other inc. Private Halls,W1W 6XH,69,66,103
"A/,Z(S8<^6=\@Q%8SMBRE/",2017/18,BAPHT01F,BA Contemporary Media Practice FT,Level 4,2.22,Other inc. Private Halls,HA1 3TP,68,32,90
"A/,Z=OXWL::()IUH==*(`""",2017/18,BLLAW02F,LLB Law FT,Level 4,11.06,Commuter,W1B 2HW,60,30,72
"A/?7A9??+F+""C=B<I.4=\+",2016/17,BAPHT02F,BA Photography FT,Level 5,0.4,Other inc. Private Halls,HA1 3TP,61,32,106
"A/?7A9??+F+""C=B<I.4=\+",2017/18,BAPHT02F,BA Photography FT,Level 6,0.86,Other inc. Private Halls,HA1 3TP,62,4,60
"A/[+>^""4UU!>`:M^4#9YM!",2017/18,BACRI02F,BA Sociology and Criminology FT,Level 4,11.04,Commuter,W1B 2HW,52,29,66
A/]$4)H!W:AIJ'M6=\>HT.,2016/17,BSACC01F,BSc Accounting FT,Level 6,8.26,Commuter,NW1 5LS,53,30,92
A/]5]BON>0^@N0)MA'7ID$,2016/17,BSBIO02F,BSc Biological Sciences FT,Level 6,9.86,Commuter,W1W 6XH,50,28,73
A/]N_/IGL*HSH-6-+>E!\-,2017/18,BSPSY02F,BSc Psychology FT,Level 4,13.01,Commuter,W1W 6XH,39,23,72
A/^4GH9!_Z::>+%==Y7>H),2017/18,BAFAS02F,BA Fashion Design FT,Level 4,6.37,Other inc. Private Halls,HA1 3TP,63,14,144
A/_OVWSN.3_DB@STADX(1(,2016/17,BAJMC05F,BA Radio and Digital Production FT,Level 5,2.02,Other inc. Private Halls,HA1 3TP,65,41,72
A/_OVWSN.3_DB@STADX(1(,2017/18,BAJMC05F,BA Radio and Digital Production FT,Level 6,0.65,Other inc. Private Halls,HA1 3TP,70,18,47
A/>A;IFVS-J#5#YJ^%D3&&,2016/17,BACRI01F,BA Criminology FT,Level 5,3.89,Commuter,W1B 2HW,68,46,52
A/>A;IFVS-J#5#YJ^%D3&&,2017/18,BACRI01F,BA Criminology FT,Level 6,3.89,Commuter,W1B 2HW,63,35,41
"A/6=""R#BOSJ=X&S(SY280&",2016/17,BAFAS01F,BA Fashion Buying Management FT,Level 6,13.11,Other inc. Private Halls,HA1 3TP,68,21,65
"A/7?>8Y""4*!NN^LV-E!LC$",2016/17,BSACC01F,BSc Accounting FT,Level 6,4.65,Other inc. Private Halls,NW1 5LS,77,64,77
A/5787MK!ANZ]1MD.O>LF(,2016/17,BAADS04F,BA Fine Art Mixed Media FT,Level 6,16.95,Unknown,HA1 3TP,64,13,90
A/H49X4%1*SE6?E=9\G\*#,2016/17,BAMRK01F,BA International Marketing FT,Level 4,11.82,Commuter,NW1 5LS,,55,72
A/H49X4%1*SE6?E=9\G\*#,2017/18,BAMRK02F,BA Marketing Communications FT,Level 5,11.82,Commuter,NW1 5LS,62,54,76
"A/I'N-""1H7FE:!)L]H5LC,",2017/18,BAPHT01F,BA Contemporary Media Practice FT,Level 4,0.59,UoW Halls,HA1 3TP,76,40,90
"A/L7;EQ4?G?=L=6,O,!M+$",2016/17,BATFM01F,BA Film FT,Level 5,,Unknown,HA1 3TP,66,15,95
"A/LB,<5]T_H:T2M;,I&0!%",2017/18,BAPHT02F,BA Photography FT,Level 5,15.19,Other inc. Private Halls,HA1 3TP,0,2,88
"A/LS+695]GPA\,K4K\OQJ!",2016/17,BDPIPRM,UG Digital and Photographic Imaging,Level 6,1.31,Unknown,HA1 3TP,51,29,49
"A/WV""RE<C>33+RDZ'G83:.",2016/17,BSBMS04F,BSc Honours Biomedical Sciences (Sandwich) FT,Level 5,2.24,Commuter,W1W 6XH,,57,71
"A:'<AZ+THN;1!XUYJKL!>""",2016/17,BAMRK02F,BA Marketing Communications FT,Level 5,6,UoW Halls,NW1 5LS,59,39,75
"A:'<AZ+THN;1!XUYJKL!>""",2017/18,BAMRK02F,BA Marketing Communications FT,Level 6,2.59,Other inc. Private Halls,NW1 5LS,61,34,73
A:-O?F)N7/)R<($[*.W<%#,2016/17,BALAN06F,BA Language and Other Disciplines FT,Level 5,9.02,Commuter,W1B 2HW,57,60,102
"A:$ZA,D]0XQ=O?=TX(?N?-",2016/17,BALAN06F,BA Language and Other Disciplines FT,Level 4,7.55,Commuter,W1B 2HW,,18,105
"A:.7N3*%LDJ>C*U>OX?M-""",2017/18,BAARC02F,BA Interior Architecture FT,Level 4,7.43,Commuter,NW1 5LS,63,24,91
A:[TUYY6E]_!BN#O@2B1-),2016/17,BAADS03F,BA Illustration and Visual Communication FT,Level 4,2.22,UoW Halls,HA1 3TP,58,36,71
A:`MZ&`R!SWNC/?IZNY$9+,2016/17,BAARC02F,BA Interior Architecture FT,Level 5,1.81,Commuter,NW1 5LS,67,35,72
A:`MZ&`R!SWNC/?IZNY$9+,2017/18,BAARC02F,BA Interior Architecture FT,Level 6,1.81,Commuter,NW1 5LS,74,22,71
A:>;8E((1E:C;0XXV;=J4',2016/17,BABSM06F,BA Business Management FT,Level 4,8.61,Commuter,NW1 5LS,59,65,74
A:>;8E((1E:C;0XXV;=J4',2017/18,BABSM06F,BA Business Management FT,Level 5,8.61,Commuter,NW1 5LS,59,55,75
A:0CY3.S@)Y=G#+M?;5[J0,2016/17,BAMRK03F,BA Marketing Management FT,Level 4,8.78,Unknown,NW1 5LS,32,48,75
"A:1<S(I,#P<XR,[YD>V@_$",2017/18,BABSM07F,BA International Business FT,Level 4,6.07,UoW Halls,NW1 5LS,60,67,73
"A:5\,RWUE;2%<W=E^F#V\*",2016/17,BSPSY01F,BSc Cognitive and Clinical Neuroscience FT,Level 4,6.74,Other inc. Private Halls,W1W 6XH,62,56,71
"A:5\,RWUE;2%<W=E^F#V\*",2017/18,BSPSY01F,BSc Cognitive and Clinical Neuroscience FT,Level 5,6.74,Other inc. Private Halls,W1W 6XH,67,38,69
A:6>ZSQ1)?-6E64V0@*\5-,2017/18,BAHIS01F,BA History and Politics FT,Level 4,6.66,UoW Halls,W1B 2HW,57,44,70
A:6SM<O@LFB(0@4U-7;XC-,2016/17,BAMRK03F,BA Marketing Management FT,Level 6,9.69,Unknown,NW1 5LS,61,40,76
"A:A+/R..@`S!L?BG$2$=Q""",2016/17,BALAN01F,BA Modern Languages FT,Level 5,3.36,Other inc. Private Halls,W1B 2HW,61,59,81
"A:H<L)LS[7""""O93$,$.?W&",2016/17,BAPHT01F,BA Contemporary Media Practice FT,Level 5,166.54,Unknown,HA1 3TP,58,19,81
"A:H<L)LS[7""""O93$,$.?W&",2017/18,BAPHT01F,BA Contemporary Media Practice FT,Level 6,0.4,Other inc. Private Halls,HA1 3TP,66,10,37
A:M[<QRR&'BV:-Z.O/DJ=0,2016/17,BSACC01F,BSc Accounting FT,Level 5,3.44,Other inc. Private Halls,NW1 5LS,60,36,86
A:M[<QRR&'BV:-Z.O/DJ=0,2017/18,BSACC01F,BSc Accounting FT,Level 6,7.52,Other inc. Private Halls,NW1 5LS,54,30,76
A:U@P1V29PI)]9^EY6E)'%,2016/17,BSBMS01F,BSc Biomedical Sciences FT,Level 4,9.26,Commuter,W1W 6XH,70,65,88
A:U@P1V29PI)]9^EY6E)'%,2017/18,BSBMS01F,BSc Biomedical Sciences FT,Level 5,9.26,Commuter,W1W 6XH,66,60,70
"A:XMG:%6%PD>(`,BL6-@W'",2016/17,BSPSY02F,BSc Psychology FT,Level 4,6.64,UoW Halls,W1W 6XH,60,48,74
"A:XMG:%6%PD>(`,BL6-@W'",2017/18,BSPSY02F,BSc Psychology FT,Level 5,5.4,Other inc. Private Halls,W1W 6XH,39,38,72
A;#WY)H!7N-Q_RQJEFJWU!,2016/17,BAARC01F,BA Architecture FT,Level 6,4.59,Other inc. Private Halls,NW1 5LS,74,5,83
"A;)&PF6\MQZ8M-V_""+`.F.",2017/18,BILAW04F,Integrated Master‰Ûªs in Law (M-Law) FT,Level 4,6.71,Commuter,W1B 2HW,55,32,87
A;)/;9\G%K<69S'C+G^6'-,2016/17,BLLAW02F,LLB Law FT,Level 5,5.04,Other inc. Private Halls,W1B 2HW,39,38,96
A;)/;9\G%K<69S'C+G^6'-,2017/18,BLLAW02F,LLB Law FT,Level 6,5.04,Other inc. Private Halls,W1B 2HW,45,16,66
"A;:SS'Q84-=ZWN""#%]`YA%",2016/17,BABSM06F,BA Business Management FT,Level 6,10.75,Commuter,NW1 5LS,54,54,100
"A;@593'D'8PT7%/IL?,$E#",2016/17,BSBIO01F,BSc Biochemistry FT,Level 6,4.12,Other inc. Private Halls,W1W 6XH,19,7,92
"A;[+U.>R4CGH4[1,WW^_>""",2016/17,BALAN07F,BA Translation FT,Level 4,6.66,UoW Halls,W1B 2HW,22,52,110
"A;6""6LU92TR\@Y/W@1GOB)",2016/17,BABSM07F,BA International Business FT,Level 4,4.8,Commuter,NW1 5LS,67,40,88
"A;6""6LU92TR\@Y/W@1GOB)",2017/18,BABSM07F,BA International Business FT,Level 5,4.8,Commuter,NW1 5LS,,0,2
A;AO(84Z-O88FO^:?RP!K#,2017/18,BLLAW02F,LLB Law FT,Level 6,7.18,Other inc. Private Halls,W1B 2HW,15,8,82
"A;B""%7ZY""4VC6VP%CQF=!,",2016/17,BABSM06F,BA Business Management FT,Level 5,3.3,Other inc. Private Halls,NW1 5LS,50,52,99
"A;B""%7ZY""4VC6VP%CQF=!,",2017/18,BABSM06F,BA Business Management FT,Level 6,3.3,Other inc. Private Halls,NW1 5LS,52,30,87
"A;K]M09RMY^<3R,<`&Y&H*",2017/18,BSBMS04F,BSc Honours Biomedical Sciences (Sandwich) FT,Level 4,3.32,Commuter,W1W 6XH,55,57,99
"A;T*?CA""!5*'%#);3F*V]*",2016/17,BSPSY02F,BSc Psychology FT,Level 5,157.55,Unknown,W1W 6XH,39,18,85
A;U?\D>UJ%Q\)ST=2TXH</,2016/17,BSACC01F,BSc Accounting FT,Level 4,8.69,Unknown,NW1 5LS,39,41,78
A;U?\D>UJ%Q\)ST=2TXH</,2017/18,BSACC01F,BSc Accounting FT,Level 5,8.69,Unknown,NW1 5LS,13,14,92
"A?!S;&]@#B8M(0@"",?]K`.",2016/17,BSPSY02F,BSc Psychology FT,Level 4,7.86,Commuter,W1W 6XH,34,42,74
"A?$6X6X(QYZXZ<+<@B[Z,*",2016/17,BSBIS01F,BSc Business Information Systems FT,Level 6,6.92,Commuter,W1W 6XH,59,17,64
"A?%GXBLXQTL,!G=7]Q5FV'",2017/18,BSMGM01F,BSc Computer Games Development FT,Level 4,6.64,UoW Halls,W1W 6XH,39,47,91
A?&RB9D5[/RR%]CKBIROD!,2016/17,BABSM06F,BA Business Management FT,Level 6,4.5,Other inc. Private Halls,NW1 5LS,59,42,88
"A?)""2\*#^_WH#6J]/Q`:Q#",2016/17,BSPOC01F,BSc Architectural Technology FT,Level 5,8.83,Unknown,NW1 5LS,67,32,51
"A?)""2\*#^_WH#6J]/Q`:Q#",2017/18,BSPOC01F,BSc Architectural Technology FT,Level 6,7.12,Other inc. Private Halls,NW1 5LS,61,22,48
"A?*785T""X^$C""OK:MU4&=&",2016/17,BSFIN01F,BSc Finance FT,Level 4,1.83,Commuter,NW1 5LS,0,0,75
A?.K\#?.@7Y5<M7R=&&&G+,2016/17,BSPSY02F,BSc Psychology FT,Level 5,0.25,Other inc. Private Halls,W1W 6XH,65,50,77
A?.K\#?.@7Y5<M7R=&&&G+,2017/18,BSPSY02F,BSc Psychology FT,Level 6,0.25,Other inc. Private Halls,W1W 6XH,62,26,55
A?/>DWC(J).L3N&!4\DOZ!,2016/17,BSBMS01F,BSc Biomedical Sciences FT,Level 4,9.26,Commuter,W1W 6XH,62,60,83
A?/>DWC(J).L3N&!4\DOZ!,2017/18,BSBMS01F,BSc Biomedical Sciences FT,Level 5,9.26,Commuter,W1W 6XH,65,36,70
A?:O%Q$&G)UF1;(;T?;RJ/,2016/17,BSCON02F,BSc Computer Network Security FT,Level 4,3.15,Commuter,W1W 6XH,33,54,102
"A?;W.?S65M""[;S#YAG3EF/",2016/17,BSPOC04F,BSc Construction Management FT,Level 4,5.87,Commuter,NW1 5LS,46,36,50
"A?;W.?S65M""[;S#YAG3EF/",2017/18,BSPOC04F,BSc Construction Management FT,Level 5,5.87,Commuter,NW1 5LS,50,34,52
A??5?CA:&0.1*B@+`TIT%/,2016/17,BSMGM01F,BSc Computer Games Development FT,Level 4,6.64,UoW Halls,W1W 6XH,0,16,88
